Kind,Name,CountLineCode,MaxCyclomatic,MaxNesting,SumCyclomatic
Static Function,"A",8,,0,
File,"A+B.cpp",7,1,0,1
File,"AKS test for primes.cpp",75,6,2,16
File,"Abundant, deficient and perfect number classifications.cpp",28,5,2,8
File,"Ackermann function.cpp",16,3,2,6
File,"Additive primes.cpp",37,7,3,13
File,"Almost prime.cpp",23,4,2,10
File,"Amicable pairs.cpp",34,8,4,8
File,"Anonymous recursion.cpp",12,2,1,4
File,"Anti-primes.cpp",22,4,2,7
File,"Arithmetic evaluation.cpp",183,14,4,58
File,"Arithmetic_Integer.cpp",10,1,0,1
File,"Array concatenation.cpp",35,4,2,5
File,"Array length.cpp",6,1,0,1
File,"Arrays.cpp",21,1,0,3
File,"Binary search.cpp",23,4,1,7
File,"Call a function.cpp",12,1,0,2
File,"Carmichael 3 strong pseudoprimes.cpp",48,7,3,18
File,"Character codes.cpp",5,1,0,1
File,"Check that file exists.cpp",18,3,2,4
File,"Chernick's Carmichael numbers.cpp",58,9,3,18
File,"Chowla numbers.cpp",48,8,3,16
File,"Circular primes.cpp",67,7,3,17
File,"Compare length of two strings.cpp",38,5,3,7
Class,"Compare",11,2,1,3
Public Function,"Compare::Compare",2,,0,
Public Function,"Compare::operator()",6,,1,
File,"Consecutive primes with ascending or descending differences.cpp",47,7,3,9
File,"Copy a string.cpp",7,1,0,1
File,"Count in factors.cpp",31,5,4,7
Class,"Counter",16,1,0,1
Public Function,"Counter::countClicks",4,,0,
File,"Create a file.cpp",10,1,0,1
File,"Cuban primes.cpp",52,16,6,16
File,"DNS query.cpp",17,3,1,3
File,"Detect division by zero.cpp",14,1,0,2
File,"Determine if a string is numeric.cpp",8,2,1,2
File,"Dragon curve.cpp",157,11,4,32
File,"Emirp primes.cpp",50,8,2,15
File,"Empty program.cpp",1,1,0,1
File,"Environment variables.cpp",5,1,0,1
File,"Even or odd.cpp",15,1,0,3
File,"Extensible prime generator.cpp",113,12,3,24
File,"Extra primes.cpp",61,9,3,21
Function,"F",9,,1,
File,"FTP.cpp",165,6,2,17
