Kind,Name,CountLineCode,MaxCyclomatic,MaxNesting,SumCyclomatic
Function,"A",4,,0,
File,"A+B.c",7,1,0,1
File,"AKS test for primes.c",37,4,2,12
File,"Abundant, deficient and perfect number classifications.c",30,7,3,7
File,"Ackermann function.c",14,3,2,6
File,"Additive primes.c",64,6,3,12
File,"Almost prime.c",22,4,3,7
File,"Amicable pairs.c",38,12,4,12
File,"Anonymous recursion.c",23,2,1,5
File,"Anti-primes.c",23,4,2,7
Function,"AppendChild",12,,2,
File,"Arithmetic evaluation.c",181,9,2,40
File,"Arithmetic_Integer.c",14,3,1,3
File,"Array concatenation.c",21,2,1,3
File,"Array length.c",7,1,0,1
File,"Arrays.c",2,0,0,0
Function,"B",5,,0,
File,"Binary search.c",48,4,2,11
File,"Call a function.c",5,1,0,1
File,"Carmichael 3 strong pseudoprimes.c",39,7,4,14
File,"Character codes.c",5,1,0,1
File,"Check that file exists.c",19,5,0,7
File,"Chernick's Carmichael numbers.c",35,9,3,18
Struct,"Children",4,0,0,0
File,"Chowla numbers.c",27,8,2,12
File,"Circular primes.c",86,8,3,22
Function,"Combsort11",23,,3,
File,"Compare length of two strings.c",51,7,4,9
File,"Consecutive primes with ascending or descending differences.c",78,10,3,22
File,"Copy a string.c",29,3,1,3
File,"Count in factors.c",54,8,4,16
File,"Create a file.c",5,1,0,1
File,"Cuban primes.c",94,16,6,21
File,"DNS query.c",26,4,2,4
File,"Detect division by zero.c",53,6,2,8
File,"Determine if a string is numeric.c",8,2,1,2
File,"Dragon curve.c",73,9,3,24
File,"Emirp primes.c",44,9,3,16
File,"Empty program.c",4,1,0,1
File,"Environment variables.c",6,1,0,1
File,"Even or odd.c",3,0,0,0
File,"Extensible prime generator.c",72,11,2,24
File,"Extra primes.c",61,9,3,21
Function,"F",4,,0,
Function,"F",9,,1,
File,"FTP.c",13,1,0,1
File,"Factorial.c",6,2,1,2
File,"Factors of a Mersenne number.c",23,8,3,14
File,"Factors of an integer.c",60,6,2,12
File,"Fermat numbers.c",32,4,2,6
File,"Fibonacci sequence.c",9,2,1,2
File,"File input_output.c",21,4,1,4
File,"Find largest left truncatable prime in a given base.c",48,5,3,11
File,"Find limit of recursion.c",10,1,0,2
File,"FizzBuzz.c",3,6,2,6
File,"Formatted numeric output.c",10,1,0,1
File,"Fortunate numbers.c",65,11,3,21
File,"Fractal tree.c",56,4,3,8
File,"Fractran.c",50,4,2,7
File,"Frobenius numbers.c",25,7,3,10
File,"Function definition.c",4,1,0,1
File,"General FizzBuzz.c",38,5,3,7
Function,"GetAncestors",20,,2,
Function,"GetParent",20,,2,
Function,"GetPrimes",25,,4,
File,"Greatest common divisor.c",28,10,2,10
File,"Greatest element of a list.c",9,3,1,3
File,"HTTP.c",17,3,2,3
File,"Halt and catch fire.c",1,1,0,1
File,"Hamming numbers.c",40,5,3,12
File,"Hello world_Graphical.c",10,1,0,1
File,"Hello world_Text.c",5,1,0,1
File,"Hello world_Web server.c",36,5,2,5
File,"Humble numbers.c",37,6,3,12
File,"Increment a numerical string.c",47,13,2,15
File,"Input loop.c",26,6,3,8
File,"Integer comparison.c",12,4,1,4
File,"JortSort.c",35,3,2,10
File,"Keyboard input_Obtain a Y or N response.c",48,5,2,9
File,"Least common multiple.c",15,2,1,4
File,"Legendre prime counting function.c",78,17,3,19
File,"Literals_Integer.c",7,2,0,2
File,"Logical operations.c",6,1,0,1
File,"Long primes.c",67,7,2,16
File,"Longest common subsequence.c",42,9,3,10
File,"Loops_Break.c",14,3,2,3
File,"Loops_Do-while.c",5,0,0,0
File,"Loops_Downward for.c",3,0,0,0
File,"Loops_For with a specified step.c",3,0,0,0
File,"Loops_For.c",6,0,0,0
File,"Loops_Increment loop index within loop body.c",24,6,2,9
File,"Loops_Infinite.c",1,0,0,0
File,"Loops_N plus one half.c",9,3,1,3
File,"Loops_While.c",10,0,0,0
File,"Loops_With multiple ranges.c",29,8,1,13
File,"Lucas-Lehmer test.c",57,11,2,15
File,"Ludic numbers.c",52,8,3,17
Function,"M",4,,0,
File,"Magnanimous numbers.c",76,7,4,24
File,"Man or boy test.c",27,2,0,9
File,"Mersenne primes.c",25,7,2,10
File,"Mertens function.c",49,9,3,13
File,"Miller–Rabin primality test.c",76,3,2,3
File,"Motzkin numbers.c",29,7,2,11
File,"Multiplication tables.c",12,8,2,8
File,"Mutual recursion.c",21,3,1,7
File,"Möbius function.c",41,13,3,13
File,"N-smooth numbers.c",110,7,4,31
File,"Nice primes.c",43,7,3,13
File,"Nth root.c",29,4,1,7
File,"Null object.c",8,2,1,2
File,"Numbers with prime digits whose sum is 13.c",33,6,3,10
File,"Order by pair comparisons.c",26,2,1,4
File,"Order two numerical lists.c",11,7,2,7
File,"Palindrome detection.c",10,3,2,3
File,"Partition an integer x into n primes.c",112,6,3,25
File,"Partition function P.c",30,5,3,6
File,"Perfect numbers.c",32,4,3,7
File,"Pernicious numbers.c",20,5,2,7
File,"Pierpont primes.c",100,8,3,20
File,"Power set.c",26,3,2,4
File,"Primality by Wilson's theorem.c",26,4,2,7
File,"Primality by trial division.c",8,4,2,4
File,"Prime conspiracy.c",93,13,3,28
File,"Prime decomposition.c",131,10,3,34
Struct,"PrimeArray",5,0,0,0
File,"Primes - allocate descendants to their ancestors.c",161,13,4,34
File,"Primes whose sum of digits is 25.c",41,7,2,12
File,"Primorial numbers.c",51,4,3,11
Function,"PrintDescendants",16,,1,
File,"Program termination.c",8,1,0,1
File,"Proper divisors.c",32,5,3,9
File,"Quickselect algorithm.c",24,5,2,7
File,"RPG attributes generator.c",37,10,3,11
File,"Ramer-Douglas-Peucker line simplification.c",59,6,2,11
File,"Ranking methods.c",87,6,3,23
File,"Read a file line by line.c",19,3,1,3
File,"Real constants and functions.c",10,0,0,0
File,"Remove duplicate elements.c",26,8,4,10
File,"Rosetta Code_Rank languages by popularity.c",64,5,2,16
File,"Safe primes and unsafe primes.c",75,11,3,19
File,"Selectively replace multiple instances of a character within a string.c",27,8,3,8
File,"Semiprime.c",16,3,2,6
File,"Send email.c",66,3,1,5
File,"Sequence of primes by trial division.c",25,4,2,7
File,"Sequence of primorial primes.c",27,4,2,4
File,"Sexy primes.c",142,27,3,38
File,"Sieve of Eratosthenes.c",21,6,4,6
File,"Simple windowed application.c",32,1,0,2
File,"Smarandache prime-digital sequence.c",63,9,3,23
File,"Sockets.c",28,5,4,5
File,"Sort a list of object identifiers.c",96,7,2,23
File,"Sort an array of composite structures.c",85,12,4,19
File,"Sort an integer array.c",13,2,0,3
File,"Sort disjoint sublist.c",21,7,3,10
File,"Sort numbers lexicographically.c",44,6,2,11
File,"Sort three variables.c",36,14,3,14
File,"Sort using a custom comparator.c",15,3,1,4
File,"Sorting Algorithms_Circle Sort.c",23,4,2,8
File,"Sorting algorithms_Bead sort.c",32,10,2,12
File,"Sorting algorithms_Bogosort.c",29,3,2,9
File,"Sorting algorithms_Bubble sort.c",26,5,3,9
File,"Sorting algorithms_Cocktail sort with shifting bounds.c",55,7,3,13
File,"Sorting algorithms_Cocktail sort.c",33,6,4,10
File,"Sorting algorithms_Comb sort.c",23,6,3,6
File,"Sorting algorithms_Counting sort.c",34,5,2,12
File,"Sorting algorithms_Cycle sort.c",71,10,4,13
File,"Sorting algorithms_Gnome sort.c",11,4,3,4
File,"Sorting algorithms_Heapsort.c",45,5,2,14
File,"Sorting algorithms_Insertion sort.c",22,5,2,8
File,"Sorting algorithms_Merge sort.c",33,6,1,13
File,"Sorting algorithms_Pancake sort.c",51,7,3,11
File,"Sorting algorithms_Patience sort.c",49,9,3,13
File,"Sorting algorithms_Permutation sort.c",30,8,3,11
File,"Sorting algorithms_Quicksort.c",31,6,2,9
File,"Sorting algorithms_Radix sort.c",40,7,2,15
File,"Sorting algorithms_Selection sort.c",24,5,3,9
File,"Sorting algorithms_Shell sort.c",23,5,3,9
File,"Sorting algorithms_Sleep sort.c",8,2,1,2
File,"Sorting algorithms_Stooge sort.c",22,4,2,6
File,"Sorting algorithms_Strand sort.c",58,7,2,20
File,"Split a character string based on change of character.c",21,3,2,4
Function,"StoogeSort",12,,2,
File,"Strange numbers.c",33,6,3,8
File,"Strange plus numbers.c",19,4,2,8
File,"Strange unique prime triplets.c",74,15,5,21
File,"String append.c",15,2,1,2
File,"String comparison.c",24,2,1,4
File,"String concatenation.c",17,1,0,2
File,"String interpolation (included).c",5,1,0,1
File,"String matching.c",25,2,1,6
File,"String prepend.c",10,1,0,1
File,"Strong and weak primes.c",101,17,3,23
File,"Substring.c",20,2,1,3
File,"Successive prime differences.c",148,6,3,28
File,"Sudan function.c",13,3,1,4
File,"System time.c",7,1,0,1
File,"Tau number.c",34,5,3,9
File,"The sieve of Sundaram.c",23,10,3,10
File,"Tokenize a string.c",13,3,1,3
File,"Topological sort.c",95,11,3,28
File,"Totient function.c",37,7,3,13
File,"Towers of Hanoi.c",15,2,1,3
Struct,"Transition",4,0,0,0
File,"Tree traversal.c",123,4,2,24
File,"Truncatable primes.c",47,5,2,17
File,"Twin primes.c",45,12,2,17
File,"Two's complement.c",2,0,0,0
File,"Ulam spiral (for primes).c",60,7,4,18
File,"Unprimeable numbers.c",119,9,4,33
File,"User input_Text.c",15,2,1,2
