Kind,Name,CountLineCode,MaxCyclomatic,MaxNesting,SumCyclomatic
Package,"(Unnamed_Package)",5741,20,6,1422
File,"A+B.java",1,0,0,0
File,"AKS test for primes.java",38,4,2,11
File,"Abundant, deficient and perfect number classifications.java",23,4,2,6
File,"Ackermann function.java",132,8,0,16
Public Interface,"Ackermann",126,1,0,2
Public Enum Type,"Ackermann.$",115,1,0,9
Private Static Method,"Ackermann.$.new_",108,,0,9
Lambda Method,"Ackermann.$.new_.(lambda_expr_1)",107,,0,9
Lambda Method,"Ackermann.$.new_.(lambda_expr_1).(lambda_expr_2)",1,,0,1
Private Enum Type,"Ackermann.$.new_.(lambda_expr_1).Field",6,0,0,0
Public Implicit Method,"Ackermann.$.new_.(lambda_expr_1).Field.valueOf",,,,0
Public Implicit Method,"Ackermann.$.new_.(lambda_expr_1).Field.values",,,,0
Private Interface,"Ackermann.$.new_.(lambda_expr_1).FunctionalAckermann",19,1,0,4
Public Method,"Ackermann.$.new_.(lambda_expr_1).FunctionalAckermann.flag",4,,0,1
Public Method,"Ackermann.$.new_.(lambda_expr_1).FunctionalAckermann.number1",4,,0,1
Public Method,"Ackermann.$.new_.(lambda_expr_1).FunctionalAckermann.number2",4,,0,1
Public Method,"Ackermann.$.new_.(lambda_expr_1).FunctionalAckermann.stack",4,,0,1
Public Implicit Method,"Ackermann.$.valueOf",,,,0
Public Implicit Method,"Ackermann.$.values",,,,0
Public Abstract Method,"Ackermann.flag",1,,0,0
Public Static Method,"Ackermann.main",3,,0,1
Public Static Method,"Ackermann.new_",3,,0,1
Public Abstract Method,"Ackermann.number1",1,,0,0
Public Abstract Method,"Ackermann.number2",1,,0,0
Public Abstract Method,"Ackermann.stack",1,,0,0
File,"Additive primes.java",34,4,2,9
Public Class,"AksTest",38,4,2,11
Static Method,"AksTest.coeff",8,,2,3
Static Method,"AksTest.isPrime",9,,1,2
Public Static Method,"AksTest.main",11,,2,4
Static Method,"AksTest.show",7,,1,2
File,"Almost prime.java",24,4,3,8
Public Class,"AlmostPrime",24,4,3,8
Public Static Method,"AlmostPrime.kprime",10,,2,4
Public Static Method,"AlmostPrime.main",12,,3,4
File,"Amicable pairs.java",22,2,1,5
Public Class,"AmicablePairs",18,1,1,5
Public Static Method,"AmicablePairs.main",13,,1,3
Lambda Method,"AmicablePairs.main.(lambda_expr_1)",5,,0,2
Public Static Method,"AmicablePairs.properDivsSum",3,,0,2
Lambda Method,"AmicablePairs.properDivsSum.(lambda_expr_1)",1,,0,1
File,"Anonymous recursion.java",20,3,1,10
File,"Anti-primes.java",23,4,2,7
Public Class,"Antiprime",23,4,2,7
Static Method,"Antiprime.countDivisors",8,,2,4
Public Static Method,"Antiprime.main",13,,2,3
File,"Arithmetic evaluation.java",140,13,4,31
Public Class,"ArithmeticEvaluation",139,13,4,16
Public Static Class,"ArithmeticEvaluation.BinaryExpression",20,1,0,3
Public Constructor,"ArithmeticEvaluation.BinaryExpression.BinaryExpression",5,,0,1
Public Method,"ArithmeticEvaluation.BinaryExpression.eval",6,,0,1
Public Method,"ArithmeticEvaluation.BinaryExpression.toString",4,,0,1
Public Enum Type,"ArithmeticEvaluation.BinaryOperator",33,5,2,9
Constructor,"ArithmeticEvaluation.BinaryOperator.BinaryOperator",4,,0,1
Public Method,"ArithmeticEvaluation.BinaryOperator.eval",13,,1,5
Public Static Method,"ArithmeticEvaluation.BinaryOperator.forSymbol",8,,2,3
Public Implicit Method,"ArithmeticEvaluation.BinaryOperator.valueOf",,,,0
Public Implicit Method,"ArithmeticEvaluation.BinaryOperator.values",,,,0
Public Interface,"ArithmeticEvaluation.Expression",3,0,0,0
Abstract Method,"ArithmeticEvaluation.Expression.eval",1,,0,0
Public Static Class,"ArithmeticEvaluation.Number",14,1,0,3
Public Constructor,"ArithmeticEvaluation.Number.Number",3,,0,1
Public Method,"ArithmeticEvaluation.Number.eval",4,,0,1
Public Method,"ArithmeticEvaluation.Number.toString",4,,0,1
Public Enum Type,"ArithmeticEvaluation.Parentheses",1,0,0,0
Public Implicit Method,"ArithmeticEvaluation.Parentheses.valueOf",,,,0
Public Implicit Method,"ArithmeticEvaluation.Parentheses.values",,,,0
Private Static Method,"ArithmeticEvaluation.createNewOperand",5,,0,1
Public Static Method,"ArithmeticEvaluation.main",13,,1,2
Public Static Method,"ArithmeticEvaluation.parse",48,,4,13
File,"Arithmetic_Integer.java",18,1,0,1
File,"Array concatenation.java",1,0,0,0
